option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,a* a,a* a.1
HX,"11, 21, 32, 41, 51",209,184.0,159,137,115,93,2023,mj,260.0,,
HY,"12, 22, 34, 42, 52",196,172.0,148,126,105,84,2023,mj,260.0,,
P1,50,–,54.0,45,38,31,25,2023,mj,75.0,,
P2,"50, 60",124,108.0,92,77,63,49,2023,mj,150.0,,
P3,"60, 80",128,114.0,100,84,69,54,2023,mj,150.0,,
S1,"11, 21, 31",–,95.0,85,72,59,47,2023,mj,130.0,,
S2,"11, 21, 32",–,96.0,86,73,61,49,2023,mj,130.0,,
S3,"12, 22, 33",–,87.0,76,65,55,45,2023,mj,130.0,,
S4,"12, 22, 34",–,88.0,77,66,56,46,2023,mj,130.0,,
S5,"13, 23, 35",–,93.0,84,74,64,54,2023,mj,130.0,,
BX1,"41, 51, 84",208,185.0,162,139,116,93,2024,mj,260.0,,
BX2,"41, 51, 87",209,186.0,163,140,117,95,2024,mj,260.0,,
BY1,"42, 52, 85",189,166.0,143,122,101,80,2024,mj,260.0,,
BY2,"42, 52, 88",190,167.0,144,123,102,81,2024,mj,260.0,,
BZ1,"43, 53, 86",201,179.0,157,136,115,94,2024,mj,260.0,,
CP1,"43, 53, 94",200,176.0,152,131,110,89,2024,mj,260.0,,
CQ1,"41, 51, 95",200,176.0,152,132,112,92,2024,mj,260.0,,
CQ2,"41, 51, 98",202,177.0,152,132,112,92,2024,mj,260.0,,
CR1,"42, 52, 96",185,162.0,139,119,99,79,2024,mj,260.0,,
CR2,"42, 52, 99",185,162.0,139,118,97,77,2024,mj,260.0,,
CX1,"41, 51, 94",204,180.0,156,135,115,95,2024,mj,260.0,,
CY1,"42, 52, 95",188,165.0,142,121,101,81,2024,mj,260.0,,
CY2,"42, 52, 98",190,166.0,142,121,101,81,2024,mj,260.0,,
HX,"11, 21, 32, 41, 51",208,187.0,166,144,122,101,2024,mj,260.0,,
HY,"12, 22, 34, 42, 52",191,166.0,141,120,99,79,2024,mj,260.0,,
S1,"11, 21, 31",–,96.0,88,77,66,55,2024,mj,130.0,,
S2,"11, 21, 32",–,97.0,89,77,66,55,2024,mj,130.0,,
S3,"12, 22, 33",–,83.0,70,60,50,41,2024,mj,130.0,,
S4,"12, 22, 34",–,87.0,74,64,54,44,2024,mj,130.0,,
S5,"13, 23, 35",–,94.0,86,75,65,55,2024,mj,130.0,,
AC,"14, 24, 37, 44, 54",,,143,123,104,85,2025,mj,260.0,191,167.0
AX,"11, 21, 31, 41, 51",,,150,130,110,90,2025,mj,260.0,200,175.0
AY,"12, 22, 33, 42, 52",,,138,116,95,74,2025,mj,260.0,188,163.0
AZ,"13, 23, 35, 43, 53",,,149,129,109,90,2025,mj,260.0,201,175.0
BN1,"44, 54, 85",,,137,118,99,80,2025,mj,260.0,185,161.0
BN2,"44, 54, 88",,,141,121,102,83,2025,mj,260.0,189,165.0
BX1,"41, 51, 84",,,158,137,116,96,2025,mj,260.0,204,181.0
BX2,"41, 51, 87",,,159,138,117,96,2025,mj,260.0,205,182.0
BY1,"42, 52, 85",,,135,114,93,72,2025,mj,260.0,187,161.0
BY2,"42, 52, 88",,,139,117,96,75,2025,mj,260.0,191,165.0
BZ1,"43, 53, 86",,,151,130,109,89,2025,mj,260.0,199,175.0
